30-04-2018 12:17:30.507 | DEBUG | main       | .aibar.base.BaseTest:59    | chrome launched.
30-04-2018 12:18:09.182 | DEBUG | main       | .aibar.base.BaseTest:72    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
30-04-2018 12:18:10.527 | DEBUG | main       | BankManagerLoginTest:12    | inside loginAsBankManager.
30-04-2018 12:18:22.908 | DEBUG | main       | BankManagerLoginTest:15    | loginAsBankManager successfully executed.
30-04-2018 12:18:30.664 | DEBUG | main       | .aibar.base.BaseTest:92    | test execution completed.
30-04-2018 12:19:50.377 | DEBUG | main       | .aibar.base.BaseTest:37    | config file loaded.
30-04-2018 12:19:50.382 | DEBUG | main       | .aibar.base.BaseTest:39    | objectRepository file loaded.
30-04-2018 12:20:27.475 | DEBUG | main       | .aibar.base.BaseTest:37    | config file loaded.
30-04-2018 12:20:27.482 | DEBUG | main       | .aibar.base.BaseTest:39    | objectRepository file loaded.
30-04-2018 12:21:24.754 | DEBUG | main       | .aibar.base.BaseTest:37    | config file loaded.
30-04-2018 12:21:24.759 | DEBUG | main       | .aibar.base.BaseTest:39    | objectRepository file loaded.
30-04-2018 12:28:12.938 | DEBUG | main       | .aibar.base.BaseTest:38    | config file loaded.
30-04-2018 12:28:12.954 | DEBUG | main       | .aibar.base.BaseTest:40    | objectRepository file loaded.
30-04-2018 12:37:33.255 | DEBUG | main       | .aibar.base.BaseTest:38    | config file loaded.
30-04-2018 12:37:33.302 | DEBUG | main       | .aibar.base.BaseTest:40    | objectRepository file loaded.
30-04-2018 12:42:05.470 | DEBUG | main       | .aibar.base.BaseTest:38    | config file loaded.
30-04-2018 12:42:05.501 | DEBUG | main       | .aibar.base.BaseTest:40    | objectRepository file loaded.
30-04-2018 12:42:05.798 | DEBUG | main       | .aibar.base.BaseTest:54    | chrome launched.
30-04-2018 13:05:48.126 | DEBUG | main       | .aibar.base.BaseTest:38    | config file loaded.
30-04-2018 13:05:48.132 | DEBUG | main       | .aibar.base.BaseTest:40    | objectRepository file loaded.
30-04-2018 13:05:48.328 | DEBUG | main       | .aibar.base.BaseTest:54    | chrome launched.
30-04-2018 13:06:10.362 | DEBUG | main       | .aibar.base.BaseTest:67    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
